Symbol,Company,Industry,Close,200DMA,Status,Difference %
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,340.65,340.49,Above,0.05
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,647.2,647.82,Below,-0.1
POLICYBZR,PB Fintech Ltd.,Financial Services,1698.0,1701.51,Below,-0.21
CIPLA,Cipla Ltd.,Healthcare,1481.72,1488.84,Below,-0.48
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,3203.19,3219.54,Below,-0.51
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,1679.52,1688.36,Below,-0.52
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,987.61,994.35,Below,-0.68
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,3275.12,3298.1,Below,-0.7
IDBI,IDBI Bank Ltd.,Financial Services,80.08,80.83,Below,-0.94
NMDC,NMDC Ltd.,Metals & Mining,65.16,65.83,Below,-1.01
NHPC,NHPC Ltd.,Power,81.33,82.21,Below,-1.07
VEDL,Vedanta Ltd.,Metals & Mining,407.21,411.77,Below,-1.11
SAIL,Steel Authority of India Ltd.,Metals & Mining,116.78,118.12,Below,-1.14
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,3847.56,3893.87,Below,-1.19
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,218.38,221.09,Below,-1.22
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,518.15,525.06,Below,-1.32
ANGELONE,Angel One Ltd.,Financial Services,242.63,245.97,Below,-1.36
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,189.02,191.79,Below,-1.45
TECHM,Tech Mahindra Ltd.,Information Technology,1490.14,1513.42,Below,-1.54
HCLTECH,HCL Technologies Ltd.,Information Technology,1601.7,1626.92,Below,-1.55
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,2733.7,2779.67,Below,-1.65
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,902.96,918.98,Below,-1.74
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,591.09,601.92,Below,-1.8
NAVA,Nava Ltd.,Power,457.07,466.08,Below,-1.93
WELSPUNLIV,Welspun Living Ltd.,Textiles,148.84,151.85,Below,-1.99
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,133.51,136.29,Below,-2.04
ATUL,Atul Ltd.,Chemicals,6779.84,6930.74,Below,-2.18
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,730.21,746.46,Below,-2.18
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,1183.13,1210.08,Below,-2.23
ITC,ITC Ltd.,Fast Moving Consumer Goods,407.74,417.38,Below,-2.31
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,5027.16,5146.74,Below,-2.32
ENGINERSIN,Engineers India Ltd.,Construction,180.01,184.33,Below,-2.34
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,364.03,372.84,Below,-2.36
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,1935.27,1983.1,Below,-2.41
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,181.08,185.7,Below,-2.49
ESCORTS,Escorts Kubota Ltd.,Capital Goods,3340.02,3432.78,Below,-2.7
NAUKRI,Info Edge (India) Ltd.,Consumer Services,1466.54,1507.66,Below,-2.73
LUPIN,Lupin Ltd.,Healthcare,2027.19,2084.84,Below,-2.77
